paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_acl_Pollack86,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P86/P86-1032.pdf,1986,'A model of plan inference that distinguishes between the beliefs of actors and observers',inproceedings,Martha E. Pollack
conf_acl_Israel83,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P83/P83-1005.pdf,1983,'A prolegomenon to situation semantics',inproceedings,David J. Israel
conf_acl_Correa87,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P87/P87-1007.pdf,1987,'An attribute-grammar implementation of government-binding theory',inproceedings,Nelson Correa
conf_acl_GaborH07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-3016.pdf,2007,'Clustering hungarian verbs on the basis of complementation patterns',inproceedings,Kata Gábor;Eniko Héja
conf_acl_GuptaNJ07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-2049.pdf,2007,'Measuring importance and query relevance in topic-focused multi-document summarization',inproceedings,Surabhi Gupta;Ani Nenkova;Daniel Jurafsky
conf_acl_Pierrehumbert83,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P83/P83-1013.pdf,1983,'Automatic recognition of intonation patterns',inproceedings,Janet B. Pierrehumbert
conf_acl_BranavanDB07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1069.pdf,2007,'Generating a table-of-contents',inproceedings,S. R. K. Branavan;Pawan Deshpande;Regina Barzilay
conf_acl_ChewA07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1110.pdf,2007,'Benefits of the `massively parallel rosetta stone': cross-language information retrieval with over 30 languages',inproceedings,Peter A. Chew;Ahmed Abdelali
conf_acl_WongM07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1121.pdf,2007,'Learning synchronous grammars for semantic parsing with lambda calculus',inproceedings,Yuk Wah Wong;Raymond J. Mooney
conf_acl_VaughanM86,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P86/P86-1015.pdf,1986,'A model of revision in natural language generation',inproceedings,Marie M. Vaughan;David D. McDonald
conf_acl_HuangC07,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P07/P07-1019.pdf,2007,'Forest rescoring: faster decoding with integrated language models',inproceedings,Liang Huang;David Chiang
